"id","name","model","brand","slug","product_id"
"655b45fe0ebe678ef4df6813","Chromo Label","CL_100x50_500","Rollabel™","Rollabel™ Chromo Label 100x50mm - 500 Labels Per Roll","CL_100x50_500"
"655b45fe0ebe678ef4df6820","Chromo Label","CL_50x20_2000","Rollabel™","Rollabel™ Chromo Label 50x20mm - 2000 Labels Per Roll","CL_50x20_2000"
"655b45fe0ebe678ef4df6821","Chromo Label","CL_50x38_500","Rollabel™","Rollabel™ Chromo Label 50x38mm - 500 Labels Per Roll","CL_50x38_500"
"655b45fe0ebe678ef4df6822","Chromo Label","CL_50x38_1000","Rollabel™","Rollabel™ Chromo Label 50x38mm - 1000 Labels Per Roll","CL_50x38_1000"
"65a49d4e7aba1accd77bab2b","Chromo Label","75×125mm - 250 Roll","Rollabel™","rollabel-direct-thermal-label-75×125-mm-250-roll","CL_75x125_250"
"655b45fe0ebe678ef4df6806","Chromo Label","CL_100x150_250","Rollabel™","Rollabel™ Chromo Label 100x150mm - 250 Labels Per Roll","CL_100x150_250"
"655b45fe0ebe678ef4df6807","Chromo Label","CL_100x150_400","Rollabel™","Rollabel™ Chromo Label 100x150mm - 400 Labels Per Roll","CL_100x150_400"
"655b45fe0ebe678ef4df6808","Chromo Label","CL_100x150_500","Rollabel™","Rollabel™ Chromo Label 100x150mm - 500 Labels Per Roll","CL_100x150_500"
"655b45fe0ebe678ef4df6803","Chromo Label","CL_75x125_250","Rollabel™","Rollabel™ Chromo Label 75x125mm - 250 Labels Per Roll","CL_75x125_250"
"655b45fe0ebe678ef4df6804","Chromo Label","CL_75x125_400","Rollabel™","Rollabel™ Chromo Label 75x125mm - 400 Labels Per Roll","CL_75x125_400"
"655b45fe0ebe678ef4df6805","Chromo Label","CL_75x125_500","Rollabel™","Rollabel™ Chromo Label 75x125mm - 500 Labels Per Roll","CL_75x125_500"
"655b45fe0ebe678ef4df6800","Chromo Label","CL_65x70_250","Rollabel™","Rollabel™ Chromo Label 65x70mm - 250 Labels Per Roll","CL_65x70_250"
"655b45fe0ebe678ef4df6812","Chromo Label","CL_51x32_2000","Rollabel™","Rollabel™ Chromo Label 51x32mm - 2000 Labels Per Roll","CL_51x32_2000"
"655b45fe0ebe678ef4df6828","Chromo Label","CL_76x136_400","Rollabel™","Rollabel™ Chromo Label 76x136mm - 400 Labels Per Roll","CL_76x136_400"
"655b45fe0ebe678ef4df6809","Chromo Label","CL_51x32_500","Rollabel™","Rollabel™ Chromo Label 51x32mm - 500 Labels Per Roll","CL_51x32_500"
"655b45fe0ebe678ef4df6810","Chromo Label","CL_51x32_1000","Rollabel™","Rollabel™ Chromo Label 51x32mm - 1000 Labels Per Roll","CL_51x32_1000"
"655b45fe0ebe678ef4df6811","Chromo Label","CL_51x32_1500","Rollabel™","Rollabel™ Chromo Label 51x32mm - 1500 Labels Per Roll","CL_51x32_1500"
"655b45fe0ebe678ef4df6802","Chromo Label","CL_65x70_500","Rollabel™","Rollabel™ Chromo Label 65x70mm - 500 Labels Per Roll","CL_65x70_500"
"65a49d4e7aba1accd77bab27","Chromo Label"," 65×70mm - 500 Roll","Rollabel™","rollabel-direct-thermal-label-65×70-mm-500-roll","CL_65x70_500"
"65a49d4e7aba1accd77bab26","Chromo Label","65x70mm - 400 Roll","Rollabel™","rollabel-chromo-label-65×70-mm-400-roll","CL_65x70_400"
"65a49d4e7aba1accd77bab25","Chromo Label","65x70mm - 250 Roll","Rollabel™","rollabel-chromo-label-65×70-mm-250-roll","CL_65x70_250"
"65a49d4e7aba1accd77bab2a","Chromo Label","100x150mm - 500 Roll","Rollabel™","rollabel-chromo-label-100×150-mm-500-roll","CL_100x150_500"
"65a49d4e7aba1accd77bab29","Chromo Label","100x150mm - 400 Roll","Rollabel™","rollabel-chromo-label-100×150-mm-400-roll","CL_100x150_400"
"65a49d4e7aba1accd77bab28","Chromo Label","100x150mm - 250 Roll","Rollabel™","rollabel-chromo-label-100×150-mm-250-roll","CL_100x150_250"
"655b45fe0ebe678ef4df6839","Chromo Label","DT_50x20_500","Rollabel™","Rollabel™ Direct Thermal Label 50x20mm - 500 Labels Per Roll","DT_50x20_500"
"655b45fe0ebe678ef4df6801","Chromo Label","CL_65x70_400","Rollabel™","Rollabel™ Chromo Label 65x70mm - 400 Labels Per Roll","CL_65x70_400"
"655b45fe0ebe678ef4df6838","Chromo Label","CL_34x34_2_2000","Rollabel™","Rollabel™ Chromo Label 34x34mm - 2Ups - 2x2000 Labels Per Roll","CL_34x34_2_2000"
"655b45fe0ebe678ef4df6837","Chromo Label","CL_34x34_2_1000","Rollabel™","Rollabel™ Chromo Label 34x34mm - 2Ups - 2x1000 Labels Per Roll","CL_34x34_2_1000"
"655b45fe0ebe678ef4df6836","Chromo Label","CL_34x34_2_500","Rollabel™","Rollabel™ Chromo Label 34x34mm - 2Ups - 2x500 Labels Per Roll","CL_34x34_2_500"
"655ae57268e0956b97a4fe02","corrugated box","NC12","Amazon","amazon-corrugated-box-nc12","NC12"
"655ae57268e0956b97a4fe01","corrugated box","NC9","Amazon","amazon-corrugated-box-nc9","NC9"
"655ae57268e0956b97a4fe07","corrugated box","NC29","Amazon","amazon-corrugated-box-nc29","NC29"
"655ae57268e0956b97a4fe08","corrugated box","NC30","Amazon","amazon-corrugated-box-nc30","NC30"
"655ae57268e0956b97a4fe09","corrugated box","NC31A","Amazon","amazon-corrugated-box-nc31a","NC31A"
"655ae57268e0956b97a4fdee","corrugated box","D35","Flipkart","flipkart-corrugated-box-d35","D35"
"655ae57268e0956b97a4fdf1","corrugated box","BT4","Amazon","amazon-corrugated-box-bt4","BT4"
